"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"16","SOCS2","ENSMUSG00000020027","16.1.1","SOCS2","ENSG00000120833","suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]"
"17","CENPB","ENSMUSG00000068267","17.1.1","CENPB","ENSG00000125817","centromere protein B [Source:HGNC Symbol;Acc:HGNC:1852]"
"18","GM28578","ENSMUSG00000100417","18.1.1","N/A","N/A","N/A"
"19","PRRC2A","ENSMUSG00000024393","19.1.1","PRRC2A","ENSG00000204469","proline rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]"
"20","ARC","ENSMUSG00000022602","20.1.1","ARC","ENSG00000198576","activity regulated cytoskeleton associated protein [Source:HGNC Symbol;Acc:HGNC:648]"
"21","DUSP1","ENSMUSG00000024190","21.1.1","DUSP1","ENSG00000120129","dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]"
"22","EGR4","ENSMUSG00000071341","22.1.1","EGR4","ENSG00000135625","early growth response 4 [Source:HGNC Symbol;Acc:HGNC:3241]"
"23","FOSB","ENSMUSG00000003545","23.1.1","FOSB","ENSG00000125740","FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]"
"24","GADD45G","ENSMUSG00000021453","24.1.1","GADD45G","ENSG00000130222","growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]"
"25","IFRD1","ENSMUSG00000001627","25.1.1","IFRD1","ENSG00000006652","interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]"
"26","JUNB","ENSMUSG00000052837","26.1.1","JUNB","ENSG00000171223","JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]"
"27","MIDN","ENSMUSG00000035621","27.1.1","MIDN","ENSG00000167470","midnolin [Source:HGNC Symbol;Acc:HGNC:16298]"
"28","PER1","ENSMUSG00000020893","28.1.1","PER1","ENSG00000179094","period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]"
"29","SPRY2","ENSMUSG00000022114","29.1.1","SPRY2","ENSG00000136158","sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]"
"30","TIPARP","ENSMUSG00000034640","30.1.1","TIPARP","ENSG00000163659","TCDD inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:HGNC:23696]"
"31","CDKN1A","ENSMUSG00000023067","31.1.1","CDKN1A","ENSG00000124762","cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]"
"32","1190002N15RIK","N/A","32.1.1","N/A","N/A","N/A"
"33","ACSL4","ENSMUSG00000031278","33.1.1","ACSL4","ENSG00000068366","acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]"
"34","CCNT1","ENSMUSG00000011960","34.1.1","CCNT1","ENSG00000129315","cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]"
"35","CPNE8","ENSMUSG00000052560","35.1.1","CPNE8","ENSG00000139117","copine 8 [Source:HGNC Symbol;Acc:HGNC:23498]"
"36","FAM150B","N/A","36.1.1","N/A","N/A","N/A"
"37","FAM46A","N/A","37.1.1","N/A","N/A","N/A"
"38","GLUL","ENSMUSG00000026473","38.1.1","GLUL","ENSG00000135821","glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]"
"39","GPT2","ENSMUSG00000031700","39.1.1","GPT2","ENSG00000166123","glutamic--pyruvic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:18062]"
"40","KCTD12","ENSMUSG00000098557","40.1.1","KCTD12","ENSG00000178695","potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]"
"41","NOCT","ENSMUSG00000023087","41.1.1","NOCT","ENSG00000151014","nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]"
"42","NTRK3","ENSMUSG00000059146","42.1.1","NTRK3","ENSG00000140538","neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033]"
"43","PAQR8","ENSMUSG00000025931","43.1.1","PAQR8","ENSG00000170915","progestin and adipoQ receptor family member 8 [Source:HGNC Symbol;Acc:HGNC:15708]"
"44","PCNP","ENSMUSG00000071533","44.1.1","PCNP","ENSG00000081154","PEST proteolytic signal containing nuclear protein [Source:HGNC Symbol;Acc:HGNC:30023]"
"45","PRICKLE2","ENSMUSG00000030020","45.1.1","PRICKLE2","ENSG00000163637","prickle planar cell polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:20340]"
"46","TCOF1","ENSMUSG00000024613","46.1.1","TCOF1","ENSG00000070814","treacle ribosome biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:11654]"
"47","WBP5","N/A","47.1.1","N/A","N/A","N/A"
"48","ALCAM","ENSMUSG00000022636","48.1.1","ALCAM","ENSG00000170017","activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]"
"49","CPEB1","ENSMUSG00000025586","49.1.1","CPEB1","ENSG00000214575","cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744]"
"50","SYT4","ENSMUSG00000024261","50.1.1","SYT4","ENSG00000132872","synaptotagmin 4 [Source:HGNC Symbol;Acc:HGNC:11512]"
"51","TIMP2","ENSMUSG00000017466","51.1.1","TIMP2","ENSG00000035862","TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]"
"52","UBFD1","ENSMUSG00000030870","52.1.1","UBFD1","ENSG00000103353","ubiquitin family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30565]"
"53","CTSB","ENSMUSG00000021939","53.1.1","CTSB","ENSG00000164733","cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]"
"54","ELAVL4","ENSMUSG00000028546","54.1.1","ELAVL4","ENSG00000162374","ELAV like RNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3315]"
"55","SNX19","ENSMUSG00000031993","55.1.1","SNX19","ENSG00000120451","sorting nexin 19 [Source:HGNC Symbol;Acc:HGNC:21532]"
"56","USP1","ENSMUSG00000028560","56.1.1","USP1","ENSG00000162607","ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]"
"57","ENO1","ENSMUSG00000059040","57.1.1","ENO1","ENSG00000074800","enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]"
"57","ENO1","ENSMUSG00000063524","57.2.1","ENO1","ENSG00000074800","enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]"
"58","H2-Q4","ENSMUSG00000035929","58.1.1","N/A","N/A","N/A"
"59","VGF","ENSMUSG00000037428","59.1.1","VGF","ENSG00000128564","VGF nerve growth factor inducible [Source:HGNC Symbol;Acc:HGNC:12684]"
"60","IGF1","ENSMUSG00000020053","60.1.1","IGF1","ENSG00000017427","insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]"
"61","IGFBP5","ENSMUSG00000026185","61.1.1","IGFBP5","ENSG00000115461","insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]"
"62","PAM","ENSMUSG00000026335","62.1.1","PAM","ENSG00000145730","peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]"
"63","SERPINE2","ENSMUSG00000026249","63.1.1","SERPINE2","ENSG00000135919","serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]"
"64","SYN2","ENSMUSG00000009394","64.1.1","SYN2","ENSG00000157152","synapsin II [Source:HGNC Symbol;Acc:HGNC:11495]"
"65","MBP","ENSMUSG00000041607","65.1.1","MBP","ENSG00000197971","myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925]"
"66","ISY1","ENSMUSG00000030056","66.1.1","ISY1","ENSG00000240682","ISY1 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:29201]"
"67","HOMER1","ENSMUSG00000007617","67.1.1","HOMER1","ENSG00000152413","homer scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:17512]"
"68","NEFM","ENSMUSG00000022054","68.1.1","N/A","N/A","N/A"
"69","ETV5","ENSMUSG00000013089","69.1.1","ETV5","ENSG00000244405","ETS variant transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3494]"
"70","GFOD1","ENSMUSG00000051335","70.1.1","GFOD1","ENSG00000145990","Gfo/Idh/MocA-like oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21096]"
"71","SOX2","ENSMUSG00000074637","71.1.1","SOX2","ENSG00000181449","SRY-box transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11195]"
"72","HSPA5","ENSMUSG00000026864","72.1.1","HSPA5","ENSG00000044574","heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]"
"73","ARIH1","ENSMUSG00000025234","73.1.1","ARIH1","ENSG00000166233","ariadne RBR E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:689]"
"74","BAIAP2","ENSMUSG00000025372","74.1.1","BAIAP2","ENSG00000175866","BAR/IMD domain containing adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:947]"
"75","BEX1","ENSMUSG00000050071","75.1.1","BEX2","ENSG00000133134","brain expressed X-linked 2 [Source:HGNC Symbol;Acc:HGNC:30933]"
"75","BEX1","ENSMUSG00000050071","75.1.2","BEX1","ENSG00000133169","brain expressed X-linked 1 [Source:HGNC Symbol;Acc:HGNC:1036]"
"76","CENPA","ENSMUSG00000029177","76.1.1","CENPA","ENSG00000115163","centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851]"
"77","CRHBP","ENSMUSG00000021680","77.1.1","CRHBP","ENSG00000145708","corticotropin releasing hormone binding protein [Source:HGNC Symbol;Acc:HGNC:2356]"
"78","EEF1E1","ENSMUSG00000001707","78.1.1","EEF1E1","ENSG00000124802","eukaryotic translation elongation factor 1 epsilon 1 [Source:HGNC Symbol;Acc:HGNC:3212]"
"79","ELOVL4","ENSMUSG00000032262","79.1.1","ELOVL4","ENSG00000118402","ELOVL fatty acid elongase 4 [Source:HGNC Symbol;Acc:HGNC:14415]"
"80","GABRA4","ENSMUSG00000029211","80.1.1","GABRA4","ENSG00000109158","gamma-aminobutyric acid type A receptor subunit alpha4 [Source:HGNC Symbol;Acc:HGNC:4078]"
"81","GABRB1","ENSMUSG00000029212","81.1.1","GABRB1","ENSG00000163288","gamma-aminobutyric acid type A receptor subunit beta1 [Source:HGNC Symbol;Acc:HGNC:4081]"
"82","GARS","N/A","82.1.1","N/A","N/A","N/A"
"83","GPHN","ENSMUSG00000047454","83.1.1","GPHN","ENSG00000171723","gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]"
"84","HCN1","ENSMUSG00000021730","84.1.1","HCN1","ENSG00000164588","hyperpolarization activated cyclic nucleotide gated potassium channel 1 [Source:HGNC Symbol;Acc:HGNC:4845]"
"85","HUNK","ENSMUSG00000053414","85.1.1","HUNK","ENSG00000142149","hormonally up-regulated Neu-associated kinase [Source:HGNC Symbol;Acc:HGNC:13326]"
"86","ITGAV","ENSMUSG00000027087","86.1.1","ITGAV","ENSG00000138448","integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]"
"87","MDM2","ENSMUSG00000020184","87.1.1","MDM2","ENSG00000135679","MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]"
"88","NPY","ENSMUSG00000029819","88.1.1","NPY","ENSG00000122585","neuropeptide Y [Source:HGNC Symbol;Acc:HGNC:7955]"
"89","OSBPL3","ENSMUSG00000029822","89.1.1","OSBPL3","ENSG00000070882","oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]"
"90","PCDH17","ENSMUSG00000035566","90.1.1","PCDH17","ENSG00000118946","protocadherin 17 [Source:HGNC Symbol;Acc:HGNC:14267]"
"91","RUSC1","ENSMUSG00000041263","91.1.1","RUSC1","ENSG00000160753","RUN and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17153]"
"92","SCCPDH","ENSMUSG00000038936","92.1.1","SCCPDH","ENSG00000143653","saccharopine dehydrogenase (putative) [Source:HGNC Symbol;Acc:HGNC:24275]"
"93","CXCL14","ENSMUSG00000021508","93.1.1","CXCL14","ENSG00000145824","C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]"
"94","POU3F3","ENSMUSG00000045515","94.1.1","POU3F3","ENSG00000198914","POU class 3 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9216]"
"95","CHP1","ENSMUSG00000014077","95.1.1","CHP1","ENSG00000187446","calcineurin like EF-hand protein 1 [Source:HGNC Symbol;Acc:HGNC:17433]"
"96","LGI1","ENSMUSG00000067242","96.1.1","LGI1","ENSG00000108231","leucine rich glioma inactivated 1 [Source:HGNC Symbol;Acc:HGNC:6572]"
"97","LLPH","ENSMUSG00000020224","97.1.1","LLPH","ENSG00000139233","LLP homolog, long-term synaptic facilitation factor [Source:HGNC Symbol;Acc:HGNC:28229]"
"98","NGEF","ENSMUSG00000026259","98.1.1","NGEF","ENSG00000066248","neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]"
"99","PLPPR4","ENSMUSG00000044667","99.1.1","PLPPR4","ENSG00000117600","phospholipid phosphatase related 4 [Source:HGNC Symbol;Acc:HGNC:23496]"
"100","SEPT6","N/A","100.1.1","N/A","N/A","N/A"
